,slug,java_submission,python_submission,total_accepted,total_submissions,difficulty.level,num_solutions,num_likes,num_dislikes
0,two-sum,1,1,9231586,18601982,1,17700,44700,1500
1,add-two-numbers,1,1,3502103,8688912,2,12400,25100,4900
2,median-of-two-sorted-arrays,0,0,1836611,5086097,3,10500,22800,2600
3,palindrome-number,1,1,3022247,5650445,1,10900,9200,2500
4,container-with-most-water,1,1,2018405,3736805,2,7300,23400,1200
5,regular-expression-matching,0,1,796915,2843606,3,2800,10300,1700
6,merge-two-sorted-lists,0,1,3091132,4947560,1,10900,17700,1600
7,4sum,0,1,718570,1999090,2,3300,8900,1100
8,merge-k-sorted-lists,1,1,1599097,3214902,3,8100,16700,606
9,remove-duplicates-from-sorted-array,0,1,2862838,5559922,1,11700,10500,14100
10,remove-element,1,1,1716450,3242659,1,10000,5500,7300
11,divide-two-integers,0,1,591165,3445725,2,2800,4100,13000
12,substring-with-concatenation-of-all-words,1,1,339492,1089202,3,1800,673,51
13,search-insert-position,0,1,2105782,4860138,1,13800,12800,559
14,next-permutation,1,1,1008650,2689541,2,4300,14800,4100
15,longest-valid-parentheses,1,1,604737,1843511,3,2800,10700,339
16,roman-to-integer,1,1,2511463,4294709,1,14000,9800,567
17,search-in-rotated-sorted-array,0,1,1967005,5048851,2,8800,20600,1200
18,sudoku-solver,1,1,446076,774436,3,2800,7600,204
19,longest-common-prefix,1,1,2260693,5534855,1,11000,13200,3800
20,count-and-say,1,1,772520,1484627,2,5500,3000,6400
21,first-missing-positive,1,1,854079,2327661,3,6600,13600,1600
22,length-of-last-word,1,1,1070052,2503647,1,10400,2900,153
23,combination-sum,1,1,1423179,2076359,2,5400,15500,308
24,trapping-rain-water,1,1,1481071,2501977,3,6600,25700,354
25,plus-one,1,1,1614179,3697364,1,11500,6900,4800
26,multiply-strings,1,1,644372,1646329,2,3100,6000,2700
27,wildcard-matching,1,1,461690,1715010,3,1800,6700,285
28,add-binary,1,1,1115640,2129915,1,6700,7800,759
29,permutations,1,1,1529525,2023011,2,6900,15200,255
30,n-queens,1,1,525905,820614,3,3800,9700,216
31,sqrtx,0,1,1410510,3772865,1,6300,6100,4000
32,rotate-image,1,1,1237975,1745800,2,9200,14100,638
33,permutation-sequence,1,1,320065,721816,3,2300,5400,432
34,climbing-stairs,0,1,2266394,4344331,1,11000,17600,544
35,group-anagrams,1,1,1889610,2832076,2,7500,14700,429
36,valid-number,1,0,301516,1612311,3,2100,903,1500
37,merge-sorted-array,1,1,1934171,4156405,1,12000,9800,925
38,powx-n,0,0,1163797,3525436,2,4900,6900,7200
39,text-justification,1,0,288442,772113,3,1900,2200,3400
40,binary-tree-inorder-traversal,1,1,1946127,2639114,1,7000,11200,545
41,maximum-subarray,1,1,3068058,6116575,2,9800,28900,1300
42,edit-distance,1,1,630833,1160305,3,3700,12200,142
43,same-tree,1,1,1477226,2542787,1,8000,9100,182
44,spiral-matrix,1,1,988919,2204848,2,8300,10900,1000
45,minimum-window-substring,1,1,983479,2406177,3,3600,14600,621
46,jump-game,1,1,1346991,3461824,2,6900,15700,804
47,largest-rectangle-in-histogram,1,1,649128,1525707,3,3000,13800,192
48,maximum-depth-of-binary-tree,1,1,2262474,3062823,1,9000,10400,166
49,merge-intervals,1,1,1829657,3963157,2,7200,18400,630
50,maximal-rectangle,1,1,338756,758101,3,1600,8400,134
51,convert-sorted-array-to-binary-search-tree,1,1,967797,1386758,1,4400,9300,465
52,scramble-string,0,0,162754,450942,3,867,2400,1100
53,balanced-binary-tree,1,1,1066793,2178534,1,4600,8600,487
54,rotate-list,1,1,700145,1941713,2,5400,7500,1300
55,distinct-subsequences,1,1,283986,639490,3,1700,5100,198
56,minimum-depth-of-binary-tree,1,1,916694,2066132,1,4200,5600,1100
57,unique-paths,1,1,1331896,2126513,2,8800,13400,377
58,binary-tree-maximum-path-sum,0,1,952514,2429944,3,4200,13800,641
59,path-sum,1,1,1143857,2372685,1,5600,8100,928
60,minimum-path-sum,1,1,861318,1409245,2,5800,10600,139
61,word-ladder,1,1,895785,2413529,3,2700,10100,1800
62,pascals-triangle,1,1,1175797,1664803,1,8800,9600,310
63,simplify-path,1,1,495414,1260025,2,2200,3300,662
64,candy,1,1,301088,734725,3,1800,5200,349
65,single-number,1,1,2100916,2975106,1,7400,13400,515
66,set-matrix-zeroes,1,1,949754,1857730,2,4600,10900,607
67,max-points-on-a-line,0,1,333702,1329773,3,2600,3600,407
68,sort-colors,1,1,1373184,2349322,2,9000,14400,513
69,maximum-gap,1,1,164630,380381,3,943,2700,330
70,binary-tree-preorder-traversal,1,1,1284671,1924238,1,5600,6600,174
71,sum-root-to-leaf-numbers,1,1,601189,985706,2,5200,6600,100
72,dungeon-game,1,1,195883,522681,3,1500,5000,90
73,binary-tree-postorder-traversal,0,1,929208,1369457,1,4500,5800,169
74,combinations,1,1,650937,972728,2,3000,5900,180
75,shortest-palindrome,1,1,153781,475797,3,830,3100,218
76,happy-number,1,1,1109686,2025418,1,5800,8400,1100
77,count-primes,1,1,716852,2165317,2,2200,6600,1300
78,the-skyline-problem,0,0,261614,625686,3,1200,5400,244
79,isomorphic-strings,1,1,844028,1969135,1,4500,6400,1400
80,rectangle-area,1,1,198356,439751,2,1500,1800,1600
81,basic-calculator,1,1,374515,883008,3,1500,5300,395
82,divisor-game,1,1,202600,299400,1,1600,1800,3800
83,day-of-the-year,1,1,44000,89200,1,679,354,404
84,faulty-sensor,0,0,3600,7200,1,71,53,55
85,word-search,1,1,1247102,3101148,2,4400,13000,528
86,repeated-dna-sequences,1,1,318229,678265,2,1700,2800,474
87,lowest-common-ancestor-of-a-binary-tree,1,1,1269022,2160392,2,4100,13700,327
88,building-boxes,0,0,6000,11500,3,101,258,42
89,expression-add-operators,1,1,197747,504662,3,527,2900,522
